YEAR,SCHOOL_TYPE_CODE,FLEET_CODE,FLEET,NUM_SETS_ON_FOB
2013,LS,SYC,Seychelles,1534
2014,LS,SYC,Seychelles,1457
2015,LS,SYC,Seychelles,2186
2016,LS,SYC,Seychelles,3264
2017,LS,SYC,Seychelles,2981
2018,LS,SYC,Seychelles,2784
2019,LS,SYC,Seychelles,2878
2020,LS,SYC,Seychelles,3265
2021,LS,SYC,Seychelles,3006
2013,LS,EUFRA,EU (France),1860
2014,LS,EUFRA,EU (France),1657
2015,LS,EUFRA,EU (France),1518
2016,LS,EUFRA,EU (France),2009
2017,LS,EUFRA,EU (France),2160
2018,LS,EUFRA,EU (France),2463
2019,LS,EUFRA,EU (France),1918
2020,LS,EUFRA,EU (France),1898
2021,LS,EUFRA,EU (France),2012
2013,LS,EUESP,EU (Spain),3419
2014,LS,EUESP,EU (Spain),3045
2015,LS,EUESP,EU (Spain),2829
2016,LS,EUESP,EU (Spain),3931
2017,LS,EUESP,EU (Spain),3085
2018,LS,EUESP,EU (Spain),4439
2019,LS,EUESP,EU (Spain),4051
2020,LS,EUESP,EU (Spain),4092
2021,LS,EUESP,EU (Spain),3287
2013,LS,MUS,Mauritius,34
2014,LS,MUS,Mauritius,269
2015,LS,MUS,Mauritius,272
2016,LS,MUS,Mauritius,258
2017,LS,MUS,Mauritius,514
2018,LS,MUS,Mauritius,458
2019,LS,MUS,Mauritius,413
2020,LS,MUS,Mauritius,539
2021,LS,MUS,Mauritius,612
2015,LS,EUITA,EU (Italy),129
2016,LS,EUITA,EU (Italy),136
2017,LS,EUITA,EU (Italy),175
2018,LS,EUITA,EU (Italy),257
2019,LS,EUITA,EU (Italy),166
2020,LS,EUITA,EU (Italy),202
2021,LS,EUITA,EU (Italy),237
